city,area,bathroom,parking spaces,animal,furniture,rooms
1,240,3,4,acept,furnished,3
0,64,1,1,acept,not furnished,2
1,443,5,4,acept,furnished,5
1,73,2,1,acept,not furnished,2
1,19,1,0,not acept,not furnished,1
1,13,1,0,acept,not furnished,1
1,55,1,1,acept,furnished,1
1,55,2,1,acept,not furnished,2
1,82,1,1,acept,furnished,3
1,32,1,1,acept,not furnished,1
0,60,1,0,acept,not furnished,1
0,64,2,1,acept,furnished,1
1,20,1,0,acept,furnished,1
1,375,5,5,acept,not furnished,4
1,92,1,1,not acept,furnished,2
0,56,1,1,acept,not furnished,2
0,188,3,8,acept,not furnished,2
1,100,2,1,acept,not furnished,3
1,192,3,2,acept,not furnished,3
1,93,2,1,acept,not furnished,3
1,155,3,2,acept,not furnished,3
1,80,2,0,not acept,not furnished,2
1,65,2,2,not acept,not furnished,2
1,320,3,4,acept,not furnished,3
1,180,5,3,acept,not furnished,3
1,31,1,1,acept,not furnished,1
1,105,2,2,acept,not furnished,4
1,300,4,2,acept,furnished,3
0,150,2,2,acept,not furnished,3
1,130,3,2,acept,not furnished,3
1,70,1,0,acept,not furnished,2
1,120,1,4,acept,not furnished,3
1,250,4,2,acept,not furnished,3
1,50,1,0,acept,not furnished,1
1,240,3,3,acept,not furnished,3
1,250,4,2,not acept,not furnished,4
0,94,3,2,acept,not furnished,3
1,176,4,3,acept,not furnished,3
1,180,4,5,acept,not furnished,3
1,191,3,4,acept,furnished,3
1,25,1,0,acept,not furnished,1
1,800,5,4,acept,not furnished,4
1,340,4,3,acept,furnished,3
1,90,1,0,not acept,not furnished,2
0,650,4,8,acept,furnished,5
1,100,2,0,acept,not furnished,2
1,230,4,4,acept,furnished,4
1,190,3,2,acept,not furnished,2
1,205,4,6,acept,not furnished,4
1,96,3,2,acept,not furnished,3
1,396,4,4,acept,not furnished,4
0,74,2,1,acept,not furnished,3
0,30,1,0,not acept,furnished,1
1,64,2,1,acept,not furnished,3
1,105,2,2,acept,furnished,3
1,50,2,1,acept,furnished,1
1,60,1,0,not acept,not furnished,2
1,50,1,1,acept,furnished,2
1,90,2,0,acept,not furnished,2
1,130,2,1,not acept,furnished,3
1,20,1,0,not acept,furnished,1
1,400,3,2,acept,not furnished,4
1,220,3,5,acept,not furnished,3
1,750,6,5,acept,furnished,7
1,20,1,0,acept,furnished,1
0,140,2,2,not acept,not furnished,3
1,22,1,0,not acept,not furnished,1
1,345,3,2,not acept,not furnished,2
0,46,1,1,not acept,not furnished,2
1,35,1,1,not acept,furnished,1
0,72,2,1,acept,not furnished,2
1,60,1,2,not acept,not furnished,1
1,180,2,4,not acept,furnished,3
1,83,2,1,not acept,furnished,3
1,50,1,0,acept,not furnished,1
1,38,1,1,not acept,furnished,1
1,140,3,2,acept,not furnished,3
0,62,1,1,acept,not furnished,2
1,70,1,0,acept,furnished,1
0,55,1,0,acept,not furnished,1
0,60,1,1,not acept,not furnished,2
1,85,2,1,acept,not furnished,2
1,134,3,3,not acept,not furnished,3
1,200,2,2,acept,not furnished,3
1,170,2,2,acept,furnished,3
1,46,1,2,acept,furnished,1
1,20,1,0,acept,furnished,1
1,58,2,1,not acept,furnished,2
1,96,2,3,acept,not furnished,3
1,190,3,3,acept,not furnished,3
1,87,2,4,acept,not furnished,3
1,42,1,0,acept,not furnished,1
1,145,3,1,acept,furnished,3
1,250,6,4,not acept,not furnished,4
1,90,1,1,acept,not furnished,2
1,250,2,2,acept,not furnished,6
1,500,4,5,acept,furnished,3
1,80,2,2,acept,furnished,2
0,120,2,3,acept,not furnished,3
0,265,3,2,acept,not furnished,3
0,50,1,1,acept,not furnished,2
0,126,3,2,acept,not furnished,3
0,55,1,1,acept,not furnished,2
1,29,1,1,acept,furnished,1
1,59,1,1,acept,not furnished,2
1,200,4,4,acept,not furnished,2
1,74,2,1,acept,not furnished,3
1,290,5,2,acept,not furnished,4
1,172,4,3,acept,not furnished,3
1,25,1,0,not acept,furnished,1
1,50,1,1,acept,not furnished,1
1,40,1,0,acept,not furnished,1
1,80,2,2,acept,not furnished,2
1,280,6,3,acept,not furnished,6
1,60,1,1,acept,furnished,1
1,115,3,2,acept,not furnished,2
1,540,3,4,acept,not furnished,3
1,76,1,1,not acept,furnished,2
0,150,5,2,acept,not furnished,4
1,130,2,1,acept,not furnished,3
0,64,1,1,acept,not furnished,2
1,55,2,1,acept,not furnished,2
1,50,1,0,acept,not furnished,1
1,120,3,2,acept,not furnished,2
0,236,4,4,acept,not furnished,3
0,30,1,0,acept,not furnished,1
0,270,3,0,acept,furnished,3
0,48,1,0,acept,not furnished,1
0,198,3,4,acept,not furnished,6
1,50,1,0,acept,not furnished,1
1,185,3,3,acept,not furnished,3
1,440,4,4,acept,not furnished,4
0,119,2,2,acept,not furnished,3
1,57,2,2,acept,not furnished,2
1,65,1,1,acept,not furnished,2
1,35,1,1,acept,not furnished,2
0,51,2,1,not acept,not furnished,1
0,70,3,1,acept,not furnished,2
1,90,1,1,acept,not furnished,2
1,320,4,3,acept,not furnished,3
1,250,5,2,acept,not furnished,7
1,70,1,1,acept,not furnished,2
1,169,6,3,acept,furnished,4
1,33,1,0,not acept,not furnished,1
1,225,4,3,acept,not furnished,4
1,42,1,0,acept,furnished,1
1,120,4,1,not acept,not furnished,3
1,70,2,2,not acept,not furnished,3
1,90,1,2,acept,furnished,1
1,260,5,4,acept,furnished,4
1,243,3,4,acept,not furnished,3
1,100,1,0,acept,not furnished,1
1,240,4,3,acept,not furnished,3
0,45,1,1,acept,not furnished,1
1,65,1,1,acept,furnished,1
1,47,1,0,not acept,not furnished,1
1,60,1,0,acept,furnished,2
1,340,6,6,acept,furnished,4
1,500,4,0,acept,not furnished,4
1,55,1,1,acept,not furnished,2
1,240,4,3,acept,furnished,3
1,65,2,1,acept,not furnished,2
1,68,1,0,not acept,not furnished,1
1,500,4,3,acept,not furnished,4
1,198,2,2,acept,not furnished,2
1,62,1,1,acept,not furnished,2
1,60,2,1,acept,not furnished,2
1,187,2,3,not acept,furnished,3
1,25,1,0,acept,not furnished,1
1,230,4,3,acept,not furnished,3
1,17,1,0,not acept,furnished,1
1,67,2,1,acept,not furnished,2
1,20,1,0,acept,furnished,1
1,118,2,2,acept,furnished,3
1,43,1,1,acept,not furnished,1
1,195,3,1,acept,not furnished,2
1,141,4,3,not acept,not furnished,3
1,45,1,1,not acept,not furnished,1
1,48,1,1,acept,not furnished,1
1,280,4,2,not acept,not furnished,3
1,170,2,2,not acept,not furnished,3
1,90,2,1,acept,not furnished,3
0,35,1,1,acept,not furnished,1
1,16,1,0,not acept,not furnished,1
0,68,1,1,not acept,furnished,1
1,80,5,2,not acept,not furnished,3
1,190,2,1,acept,furnished,3
1,150,4,2,not acept,not furnished,3
1,112,3,2,acept,furnished,3
1,145,4,3,not acept,not furnished,3
0,47,1,1,acept,not furnished,1
1,128,2,1,acept,furnished,3
1,250,4,4,acept,not furnished,3
1,120,1,0,acept,not furnished,3
1,110,2,2,not acept,not furnished,2
1,400,5,4,acept,not furnished,2
1,35,1,1,not acept,furnished,1
1,107,2,2,acept,furnished,2
1,97,2,0,acept,not furnished,2
1,70,1,0,not acept,not furnished,2
1,20,1,0,not acept,furnished,1
1,130,2,2,acept,not furnished,3
1,120,2,3,acept,not furnished,3
1,110,3,2,acept,furnished,3
1,300,5,3,acept,not furnished,3
1,349,5,4,not acept,not furnished,4
1,97,2,2,acept,not furnished,3
1,84,1,3,not acept,not furnished,4
1,180,2,1,not acept,not furnished,2
1,286,4,5,acept,not furnished,4
1,500,7,5,acept,not furnished,5
1,110,3,3,acept,not furnished,3
1,196,4,0,acept,not furnished,4
1,33,1,1,not acept,not furnished,1
1,400,4,3,acept,not furnished,4
1,170,1,0,acept,furnished,2
1,90,1,0,acept,not furnished,1
1,184,4,3,acept,not furnished,3
1,117,2,1,not acept,furnished,2
1,11,1,0,not acept,furnished,1
0,57,1,1,acept,not furnished,1
1,16,1,0,not acept,not furnished,1
1,180,3,1,acept,furnished,4
1,250,4,2,acept,not furnished,3
1,220,4,2,acept,furnished,3
1,360,5,4,acept,not furnished,3
1,122,4,3,acept,not furnished,3
1,138,4,3,not acept,not furnished,3
1,110,1,1,acept,not furnished,3
1,220,3,3,acept,not furnished,4
1,118,2,1,not acept,not furnished,3
1,180,2,1,acept,not furnished,2
1,52,1,1,acept,not furnished,2
1,30,1,0,acept,furnished,1
1,160,3,2,acept,furnished,3
0,209,3,2,not acept,not furnished,3
1,450,5,6,acept,not furnished,5
1,117,3,3,acept,not furnished,3
1,900,6,8,acept,not furnished,4
1,200,3,0,acept,not furnished,3
1,128,3,2,acept,not furnished,3
1,140,2,2,acept,not furnished,3
1,180,3,4,acept,not furnished,3
1,280,4,5,acept,not furnished,4
1,420,6,4,acept,not furnished,4
1,48,1,1,acept,furnished,1
1,148,2,2,not acept,furnished,3
1,75,1,1,not acept,not furnished,2
1,44,1,0,not acept,not furnished,1
1,35,1,0,acept,not furnished,1
1,320,2,2,acept,furnished,4
0,98,2,1,acept,not furnished,3
0,51,1,0,not acept,furnished,1
1,322,5,5,acept,furnished,4
1,187,5,3,acept,not furnished,4
1,62,2,1,not acept,furnished,3
1,130,2,1,acept,not furnished,2
0,600,6,3,acept,not furnished,4
1,520,4,2,acept,not furnished,3
1,86,2,1,acept,furnished,1
1,72,2,1,acept,not furnished,2
1,550,4,4,acept,not furnished,4
1,50,1,0,not acept,not furnished,1
1,298,3,3,acept,not furnished,5
0,74,2,1,acept,not furnished,3
1,41,1,0,acept,furnished,1
0,80,2,2,acept,not furnished,3
1,130,2,1,acept,not furnished,3
1,64,2,2,acept,not furnished,1
1,50,1,1,not acept,not furnished,1
1,200,2,4,acept,not furnished,3
1,70,1,2,acept,furnished,1
0,41,1,1,acept,not furnished,1
1,89,2,0,acept,not furnished,2
1,250,2,8,acept,not furnished,4
1,105,1,0,acept,not furnished,2
1,150,2,1,acept,not furnished,2
1,50,1,1,not acept,not furnished,2
1,180,2,1,acept,not furnished,3
1,50,1,0,not acept,not furnished,1
0,70,1,2,acept,not furnished,1
1,177,2,2,acept,not furnished,2
1,177,5,4,acept,not furnished,4
1,18,1,0,acept,not furnished,1
1,200,4,2,acept,not furnished,3
1,45,1,1,not acept,furnished,1
0,70,1,1,acept,not furnished,2
1,66,2,1,acept,not furnished,3
1,48,1,0,acept,not furnished,2
1,515,4,3,acept,not furnished,5
1,55,2,1,acept,not furnished,2
1,350,5,2,acept,not furnished,4
1,260,3,3,acept,furnished,3
1,78,1,1,acept,not furnished,2
1,35,1,0,acept,furnished,1
1,106,1,2,not acept,not furnished,2
1,500,3,5,acept,furnished,3
1,38,1,0,not acept,not furnished,1
1,153,2,1,acept,furnished,2
1,64,2,2,acept,not furnished,2
1,260,4,4,acept,not furnished,3
0,50,1,1,acept,not furnished,1
